Entity,Code,Year,Renewables (TWh - equivalent)
Africa,,1965,41.118812561035156
Africa,,1966,45.862911224365234
Africa,,1967,47.87553787231445
Africa,,1968,56.00046920776367
Africa,,1969,65.35208892822266
Africa,,1970,81.702880859375
Africa,,1971,77.44483184814453
Africa,,1972,88.1517562866211
Africa,,1973,93.23159790039062
Africa,,1974,106.02578735351562
Africa,,1975,112.0806884765625
Africa,,1976,124.18569946289062
Africa,,1977,136.4141845703125
Africa,,1978,137.5515899658203
Africa,,1979,147.2054901123047
Africa,,1980,143.51821899414062
Africa,,1981,149.11578369140625
Africa,,1982,149.21266174316406
Africa,,1983,134.52957153320312
Africa,,1984,132.3033447265625
Africa,,1985,147.0808868408203
Africa,,1986,153.20944213867188
Africa,,1987,147.0325469970703
Africa,,1988,160.35902404785156
Africa,,1989,168.26318359375
Africa,,1990,171.72677612304688
Africa,,1991,181.83251953125
Africa,,1992,173.68441772460938
Africa,,1993,170.5123291015625
Africa,,1994,172.89979553222656
Africa,,1995,179.8681182861328
Africa,,1996,188.1667938232422
Africa,,1997,193.1290283203125
Africa,,1998,202.4394073486328
Africa,,1999,214.3425750732422
Africa,,2000,230.1741943359375
Africa,,2001,246.11659240722656
Africa,,2002,256.6695861816406
Africa,,2003,249.13717651367188
Africa,,2004,262.7085266113281
Africa,,2005,265.8599853515625
Africa,,2006,276.00445556640625
Africa,,2007,281.75714111328125
Africa,,2008,286.2889709472656
Africa,,2009,293.45269775390625
Africa,,2010,317.1091003417969
Africa,,2011,325.292724609375
Africa,,2012,326.64410400390625
Africa,,2013,345.7164306640625
Africa,,2014,370.724365234375
Africa,,2015,377.18365478515625
Africa,,2016,378.9781799316406
Africa,,2017,411.37933349609375
Africa,,2018,444.38043212890625
Africa,,2019,475.3554992675781
Africa,,2020,504.88995361328125
Africa,,2021,530.7403564453125
Africa (BP),,1965,41.118812561035156
Africa (BP),,1966,45.862911224365234
Africa (BP),,1967,47.87553787231445
Africa (BP),,1968,56.000465393066406
Africa (BP),,1969,65.35208892822266
Africa (BP),,1970,81.702880859375
Africa (BP),,1971,77.44483184814453
Africa (BP),,1972,88.1517562866211
Africa (BP),,1973,93.23159790039062
Africa (BP),,1974,106.02578735351562
Africa (BP),,1975,112.0806884765625
Africa (BP),,1976,124.18569946289062
Africa (BP),,1977,136.4141845703125
Africa (BP),,1978,137.5515899658203
Africa (BP),,1979,147.2054901123047
Africa (BP),,1980,143.51821899414062
Africa (BP),,1981,149.11578369140625
Africa (BP),,1982,149.21266174316406
Africa (BP),,1983,134.52957153320312
Africa (BP),,1984,132.3033447265625
Africa (BP),,1985,147.0808868408203
Africa (BP),,1986,153.20944213867188
Africa (BP),,1987,147.0325469970703
Africa (BP),,1988,160.35902404785156
Africa (BP),,1989,168.26318359375
Africa (BP),,1990,171.72677612304688
Africa (BP),,1991,181.83251953125
Africa (BP),,1992,173.68441772460938
Africa (BP),,1993,170.5123291015625
Africa (BP),,1994,172.89979553222656
Africa (BP),,1995,179.86813354492188
Africa (BP),,1996,188.1667938232422
Africa (BP),,1997,193.12904357910156
Africa (BP),,1998,202.4394073486328
Africa (BP),,1999,214.3425750732422
Africa (BP),,2000,230.1741943359375
Africa (BP),,2001,246.1165771484375
Africa (BP),,2002,257.16046142578125
Africa (BP),,2003,249.6785430908203
Africa (BP),,2004,263.34527587890625
Africa (BP),,2005,266.1028747558594
Africa (BP),,2006,276.0767517089844
Africa (BP),,2007,282.54833984375
Africa (BP),,2008,286.8990783691406
Africa (BP),,2009,293.7929382324219
Africa (BP),,2010,317.31988525390625
Africa (BP),,2011,325.79742431640625
Africa (BP),,2012,327.2508239746094
Africa (BP),,2013,346.3050231933594
Africa (BP),,2014,371.2928466796875
Africa (BP),,2015,377.8981018066406
